Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2.976000071,3.173000097,3.463000059,3.611999989,3.653000116,3.621000051,3.602999926,3.536000013,3.605999947,3.51699996,3.426000118,3.549999952,3.41899991,3.086999893,2.941999912,2.825000048,2.128000021,2.493999958,2.470000029,2.275000095,1.983999968,1.692000031,1.725000024,1.735000014,1.67900002,1.633999944,1.559000015,1.542000055
Angola,22.60199928,20.92499924,21.25,21.1590004,21.14800072,20.06599998,21.46500015,20.43799973,20.89699936,22.88500023,23.11499977,23.89599991,23.92499924,23.64299965,20.53199959,17.67399979,14.63300037,12.04399967,10.60900021,9.088999748,7.361999989,7.359000206,7.453999996,7.428999901,7.278999805,7.281000137,7.138999939,7.252999783
Albania,16.78100014,17.65299988,17.68099976,17.52700043,17.60700035,18.3579998,18.31100082,18.32299995,18.56900024,17.7670002,17.4109993,17.51000023,17.49600029,17.27199936,16.87400055,16.3939991,15.9659996,13.06000042,13.67399979,14.08600044,13.48099995,13.3760004,15.86600018,17.48999977,17.07999992,15.22000027,13.75,13.89799976
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,11.63691942,12.01987363,12.93877608,13.09872297,13.41039559,12.64786334,12.10803082,12.1677189,12.33654477,12.75260601,12.55169395,12.59072464,12.50353861,11.49102383,11.26501055,10.37598923,9.846742877,9.472814405,9.259066491,9.178179512,10.0376771,10.23383318,10.21950434,10.21862852,10.220711,9.96699997,9.95602078,9.942483486
United Arab Emirates,1.631999969,1.699000001,1.800999999,1.807000041,1.799999952,1.881000042,1.963999987,2.039000034,2.174999952,2.25,2.403000116,2.640000105,2.867000103,3.03399992,3.119999886,2.773000002,2.467000008,2.332999945,2.698999882,2.663000107,2.493999958,2.40899992,2.292000055,2.061000109,1.835999966,1.636000037,2.463000059,2.575000048
Argentina,5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52200031,11.50599957,10.07699966,8.470000267,7.836999893,8.645000458,7.714000225,7.178999901,7.217000008,7.099999905,7.268000126,7.643000126,8.015999794,8.347000122,9.482999802
Armenia,1.600000024,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,11.25300026,11.43900013,11.5170002,11.2329998,11.2159996,10.80000019,10.28100014,9.812000275,16.36800003,18.73999977,19.00799942,18.44300079,17.30999947,16.17900085,17.49799919,18.26099968,17.61700058,17.82699966,17.71199989
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,9.579000473,10.72900009,10.8739996,9.718999863,8.468999863,8.505999565,8.362000465,7.676000118,6.872000217,6.282999992,6.742000103,6.368000031,5.928999901,5.394999981,5.032000065,4.782000065,4.376999855,4.234000206,5.56099987,5.210999966,5.080999851,5.223999977,5.663000107,6.078000069,6.056000233,5.710999966,5.593999863,5.387000084
Austria,3.420000076,3.589999914,4.25,3.535000086,4.347000122,5.281000137,5.149000168,5.522999763,4.697999954,4.686999798,4.006999969,4.848999977,4.778999805,5.834000111,5.627999783,5.243000031,4.857999802,4.127999783,5.301000118,4.820000172,4.56400013,4.864999771,5.335000038,5.619999886,5.72300005,6.013999939,5.499000072,4.785999775
Azerbaijan,0.899999976,1.799999952,4.5,6.300000191,7.199999809,8.100000381,9.100000381,10,10.89999962,11.80000019,10.89999962,10,9.25,8,7.300000191,6.619999886,6.539999962,6.050000191,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5,5.21999979
Burundi,1.550999999,1.527999997,1.605000019,1.827000022,1.89199996,1.850000024,2.016000032,1.995000005,2.051000118,2.105999947,2.062000036,2.121999979,2.066999912,2.045000076,1.947999954,1.799999952,1.639999986,1.633999944,1.794999957,1.799999952,1.766000032,1.712000012,1.674000025,1.570000052,1.592000008,1.565999985,1.501000047,1.527999997
Belgium,6.986000061,6.701000214,8.076999664,9.647000313,9.338999748,9.482999802,8.956000328,9.322999954,8.649000168,6.585999966,6.177000046,6.909999847,7.679999828,7.362999916,8.43999958,8.24600029,7.458000183,6.975999832,7.907999992,8.291999817,7.139999866,7.541999817,8.425000191,8.522999763,8.482000351,7.829999924,7.085999966,6.322999954
Benin,1.480999947,1.50999999,1.552000046,1.286000013,1.20599997,1.157999992,1.059999943,0.976000011,0.875999987,0.815999985,0.713,0.689999998,0.728999972,0.768999994,0.805000007,0.782999992,0.731999993,0.787999988,0.967000008,1.039999962,2.645999908,2.734999895,2.665999889,2.540999889,2.463000059,2.41899991,2.180000067,2.125
Burkina Faso,2.438999891,2.411000013,2.568000078,2.579999924,2.555999994,2.54399991,2.453999996,2.440000057,2.532999992,2.664000034,2.778000116,2.809000015,2.779999971,3.390000105,4,3.698999882,3.299999952,3.594000101,4.396999836,4.90899992,5.293000221,5.809000015,6.277999878,6.479000092,6.703999996,6.363999844,6.014999866,6.059000015
Bangladesh,2.200000048,2.253000021,2.377000093,2.440000057,2.480000019,2.50999999,2.684999943,2.829999924,3.095000029,3.269999981,3.551000118,3.960999966,4.320000172,4.302000046,4.25,3.59100008,3.767999887,4.077000141,5,3.378999949,3.717999935,4.047999859,4.426000118,4.410999775,4.415999889,4.349999905,4.372000217,4.308000088
Bulgaria,12.18400002,12.34899998,13.03100014,13.53800011,13.33699989,13.50899982,13.69999981,12.19999981,14.10000038,16.21800041,19.92099953,18.10899925,13.7329998,12.0369997,10.08300018,8.951000214,6.877999783,5.609000206,6.816999912,10.27900028,11.26000023,12.27000046,12.94099998,11.42399979,9.142999649,7.574999809,6.164000034,5.261000156
Bahrain,0.97299999,1.032999992,1.128999949,1.13499999,1.128000021,1.105999947,1.085999966,1.059999943,1.078999996,1.052999973,1.031000018,1.05400002,1.06400001,1.041000009,0.986000001,0.904999971,0.838,0.834999979,1.069000006,1.129999995,1.139999986,1.200000048,1.215999961,1.149000049,1.075999975,1.013000011,0.947000027,0.962000012
"Bahamas, The",12.17000008,14.81000042,12.72000027,13.82999992,10.82999992,11.46000004,9.760000229,7.650000095,7.449999809,7.152999878,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,14.53999996,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,12.38099957,11.85000038
Bosnia and Herzegovina,17.54999924,18.37700081,19.51399994,20.39500046,21.21199989,21.92700005,22.90299988,23.69599915,25.31100082,26.18700027,27.12899971,28.22200012,29.03000069,29.86599922,30.48999977,31.11000061,28.98399925,23.40500069,24.06800079,27.31200027,27.58200073,28.01000023,27.45000076,27.5170002,27.64999962,25.40999985,20.46999931,20.8390007
Belarus,0.600000024,3.099999905,8.5,12.80000019,17.70000076,24.39999962,17.10000038,14,12.80000019,11.94200039,11.31400013,10.89299965,10.14999962,9.272000313,8.534999847,7.605000019,6.781000137,6.122000217,6.099999905,6.06099987,6.074999809,6.038000107,5.934999943,5.893000126,5.913000107,5.840000153,5.650000095,5.708000183
